,BR-010,BR-153,BR-155,BR-156,BR-158,BR-163,BR-210,BR-222,BR-230,BR-235,BR-308,BR-316,BR-417,BR-422,BR-441
BR-010,0.0,513762.3,609786.1,1583566.5,863699.2,1340954.9,1655290.0,436679.8,1089924.2,1220435.1,187186.7,162807.9,472606.4,566970.2,829343.2
BR-153,513762.3,0.0,248513.0,1222293.4,502426.1,979681.8,1294016.9,83116.0,728651.1,859162.0,699983.7,675605.0,809659.9,436571.9,468070.1
BR-155,609786.1,248513.0,0.0,1318236.1,253913.2,1075624.4,1389959.5,179058.6,824593.7,610649.0,795926.4,771547.6,905602.5,532514.6,219557.2
BR-156,1583566.5,1222293.4,1318236.1,0.0,1572040.1,256344.7,337185.2,1152941.0,493774.9,1928776.0,1587193.6,1562814.8,762913.4,1125579.4,1537684.1
BR-158,863699.2,502426.1,253913.2,1572040.1,0.0,1329811.2,1644146.2,433245.3,1078780.4,740590.1,1050113.1,1025734.3,1159789.2,786701.3,349498.2
BR-163,1340954.9,979681.8,1075624.4,256344.7,1329811.2,0.0,328068.1,910259.9,251093.8,1686094.9,1344512.5,1320133.7,1401978.2,882898.4,1295003.0
BR-210,1655290.0,1294016.9,1389959.5,337185.2,1644146.2,328068.1,0.0,1224664.5,565498.3,2000499.4,1658917.0,1634538.2,1100098.6,1197302.9,1609407.6
BR-222,436679.8,83116.0,179058.6,1152941.0,433245.3,910259.9,1224664.5,0.0,661882.5,792393.4,616867.8,592489.0,726543.9,353456.0,401301.5
BR-230,1089924.2,728651.1,824593.7,493774.9,1078780.4,251093.8,565498.3,661882.5,0.0,1435001.1,1093418.7,1069039.9,1150884.4,631804.6,1043909.3
BR-235,1220435.1,859162.0,610649.0,1928776.0,740590.1,1686094.9,2000499.4,792393.4,1435001.1,0.0,1406744.8,1382366.0,1516420.9,1143333.0,486938.1
BR-308,187186.7,699983.7,795926.4,1587193.6,1050113.1,1344512.5,1658917.0,616867.8,1093418.7,1406744.8,0.0,24348.1,501465.1,671622.4,1014982.3
BR-316,162807.9,675605.0,771547.6,1562814.8,1025734.3,1320133.7,1634538.2,592489.0,1069039.9,1382366.0,24348.1,0.0,477117.0,647274.3,990634.3
BR-417,472606.4,809659.9,905602.5,762913.4,1159789.2,1401978.2,1100098.6,726543.9,1150884.4,1516420.9,501465.1,477117.0,0.0,728661.6,1126199.0
BR-422,566970.2,436571.9,532514.6,1125579.4,786701.3,882898.4,1197302.9,353456.0,631804.6,1143333.0,671622.4,647274.3,728661.6,0.0,752854.7
BR-441,829343.2,468070.1,219557.2,1537684.1,349498.2,1295003.0,1609407.6,401301.5,1043909.3,486938.1,1014982.3,990634.3,1126199.0,752854.7,0.0
