Estados,Produto,Área destinada à colheita,Lucro
AC,Banana,347,12857150
AC,Café,65,2849886
AC,Laranja,17,582550
AC,Limão,14,406518
AC,Maracujá,15,449405
AL,Banana,116,3596675
AL,Café,2,47840
AL,Castanha de caju,13,530623
AL,Goiaba,5,117010
AL,Laranja,133,2824722
AL,Limão,10,45165
AL,Manga,13,402476
AL,Maracujá,20,1725060
AL,Tangerina,12,132360
AM,Banana,189,5331725
AM,Café,40,1947270
AM,Goiaba,9,-8684
AM,Laranja,45,454033
AM,Limão,11,-40080
AM,Manga,3,24240
AM,Maracujá,31,2705360
AM,Tangerina,4,-115165
AP,Banana,102,2811490
AP,Laranja,34,601465
AP,Maracujá,10,448171
BA,Banana,202,4959460
BA,Café,910,14381115
BA,Castanha de caju,310,3521447
BA,Goiaba,33,942866
BA,Laranja,296,6082001
BA,Limão,84,1972078
BA,Manga,328,4558374
BA,Maracujá,90,6796220
BA,Tangerina,39,1249420
BA,Uva,232,-22390498
CE,Banana,232,9047005
CE,Café,71,754260
CE,Castanha de caju,1723,15734304
CE,Goiaba,17,609676
CE,Laranja,16,320420
CE,Limão,29,452739
CE,Manga,24,903654
CE,Maracujá,93,10130522
CE,Tangerina,17,257890
CE,Uva,3,245738
DF,Banana,312,3627000
DF,Café,417,2150638
DF,Goiaba,373,20501973
DF,Laranja,64,1137518
DF,Limão,217,7134695
DF,Manga,74,2785478
DF,Maracujá,120,20590000
DF,Tangerina,123,-1350267
DF,Uva,57,-4132500
ES,Banana,382,15623590
ES,Café,5648,208365298
ES,Goiaba,12,653292
ES,Laranja,30,591297
ES,Limão,23,489460
ES,Manga,27,1534955
ES,Maracujá,13,1982916
ES,Tangerina,42,792048
ES,Uva,6,28654
GO,Banana,108,3978560
GO,Café,420,15226355
GO,Goiaba,32,3251392
GO,Laranja,169,4895395
GO,Limão,10,238230
GO,Manga,20,229500
GO,Maracujá,25,2415150
GO,Tangerina,39,1232547
GO,Uva,10,929142
MA,Banana,28,368780
MA,Castanha de caju,93,1069628
MA,Laranja,1,12019
MA,Limão,10,100820
MA,Manga,15,295175
MA,Maracujá,13,738996
MG,Banana,75,952500
MG,Café,2226,58537184
MG,Goiaba,7,207660
MG,Laranja,107,1292959
MG,Limão,18,71491
MG,Manga,27,569390
MG,Maracujá,8,868448
MG,Tangerina,46,690377
MG,Uva,9,-135989
MS,Banana,36,1081300
